{'algo': 'sensr', 'seed': (21440, 98448), 'lr': 0.01, 'accuracy': 0.775787728026534, 'lb': 1.3237235661206004, 'pval': 0.0, 'bal_acc': 0.7831420745782202, 'gap_rms_gen': 0.0897317551343251, 'mean_gap_gen': 0.08456014059136058, 'max_gap_gen': 0.11458297361317604, 'average_odds_difference_gen': -0.08456014059136058, 'equal_opportunity_difference_gen': -0.05453730756954511, 'statistical_parity_difference_gen': -0.21307928911126822, 'gap_rms_race': 0.058509553827101275, 'mean_gap_race': 0.04829711339588853, 'max_gap_race': 0.0813237197409423, 'average_odds_difference_race': -0.04829711339588853, 'equal_opportunity_difference_race': -0.01527050705083477, 'statistical_parity_difference_race': -0.11837650902899899}
{'algo': 'sensr', 'seed': (21440, 98448), 'lr': 0.003, 'accuracy': 0.775787728026534, 'lb': 1.2224937958874131, 'pval': 1.0, 'bal_acc': 0.7831420745782202, 'gap_rms_gen': 0.0897317551343251, 'mean_gap_gen': 0.08456014059136058, 'max_gap_gen': 0.11458297361317604, 'average_odds_difference_gen': -0.08456014059136058, 'equal_opportunity_difference_gen': -0.05453730756954511, 'statistical_parity_difference_gen': -0.21307928911126822, 'gap_rms_race': 0.058509553827101275, 'mean_gap_race': 0.04829711339588853, 'max_gap_race': 0.0813237197409423, 'average_odds_difference_race': -0.04829711339588853, 'equal_opportunity_difference_race': -0.01527050705083477, 'statistical_parity_difference_race': -0.11837650902899899}
{'algo': 'sensr', 'seed': (21440, 98448), 'lr': 0.0004, 'accuracy': 0.775787728026534, 'lb': 1.0544115945135109, 'pval': 1.0, 'bal_acc': 0.7831420745782202, 'gap_rms_gen': 0.0897317551343251, 'mean_gap_gen': 0.08456014059136058, 'max_gap_gen': 0.11458297361317604, 'average_odds_difference_gen': -0.08456014059136058, 'equal_opportunity_difference_gen': -0.05453730756954511, 'statistical_parity_difference_gen': -0.21307928911126822, 'gap_rms_race': 0.058509553827101275, 'mean_gap_race': 0.04829711339588853, 'max_gap_race': 0.0813237197409423, 'average_odds_difference_race': -0.04829711339588853, 'equal_opportunity_difference_race': -0.01527050705083477, 'statistical_parity_difference_race': -0.11837650902899899}
{'algo': 'sensr', 'seed': (50057, 73349), 'lr': 0.0001, 'accuracy': 0.7816473189607518, 'lb': 1.0133182421077314, 'pval': 1.0, 'bal_acc': 0.7562377626794725, 'gap_rms_gen': 0.0969606544827013, 'mean_gap_gen': 0.09692955848452503, 'max_gap_gen': 0.09938500339509165, 'average_odds_difference_gen': -0.09692955848452503, 'equal_opportunity_difference_gen': -0.09447411357395841, 'statistical_parity_difference_gen': -0.19719187816322353, 'gap_rms_race': 0.04578242754531493, 'mean_gap_race': 0.04314360613125552, 'max_gap_race': 0.05846221970863588, 'average_odds_difference_race': -0.04314360613125552, 'equal_opportunity_difference_race': -0.02782499255387516, 'statistical_parity_difference_race': -0.09925526243843588}
{'algo': 'sensr', 'seed': (50057, 73349), 'lr': 0.01, 'accuracy': 0.7816473189607518, 'lb': 1.2837846446335752, 'pval': 0.0, 'bal_acc': 0.7562377626794725, 'gap_rms_gen': 0.0969606544827013, 'mean_gap_gen': 0.09692955848452503, 'max_gap_gen': 0.09938500339509165, 'average_odds_difference_gen': -0.09692955848452503, 'equal_opportunity_difference_gen': -0.09447411357395841, 'statistical_parity_difference_gen': -0.19719187816322353, 'gap_rms_race': 0.04578242754531493, 'mean_gap_race': 0.04314360613125552, 'max_gap_race': 0.05846221970863588, 'average_odds_difference_race': -0.04314360613125552, 'equal_opportunity_difference_race': -0.02782499255387516, 'statistical_parity_difference_race': -0.09925526243843588}
{'algo': 'sensr', 'seed': (50057, 73349), 'lr': 0.003, 'accuracy': 0.7816473189607518, 'lb': 1.1966343722443415, 'pval': 1.0, 'bal_acc': 0.7562377626794725, 'gap_rms_gen': 0.0969606544827013, 'mean_gap_gen': 0.09692955848452503, 'max_gap_gen': 0.09938500339509165, 'average_odds_difference_gen': -0.09692955848452503, 'equal_opportunity_difference_gen': -0.09447411357395841, 'statistical_parity_difference_gen': -0.19719187816322353, 'gap_rms_race': 0.04578242754531493, 'mean_gap_race': 0.04314360613125552, 'max_gap_race': 0.05846221970863588, 'average_odds_difference_race': -0.04314360613125552, 'equal_opportunity_difference_race': -0.02782499255387516, 'statistical_parity_difference_race': -0.09925526243843588}
{'algo': 'sensr', 'seed': (50057, 73349), 'lr': 0.0004, 'accuracy': 0.7816473189607518, 'lb': 1.0486255222524026, 'pval': 1.0, 'bal_acc': 0.7562377626794725, 'gap_rms_gen': 0.0969606544827013, 'mean_gap_gen': 0.09692955848452503, 'max_gap_gen': 0.09938500339509165, 'average_odds_difference_gen': -0.09692955848452503, 'equal_opportunity_difference_gen': -0.09447411357395841, 'statistical_parity_difference_gen': -0.19719187816322353, 'gap_rms_race': 0.04578242754531493, 'mean_gap_race': 0.04314360613125552, 'max_gap_race': 0.05846221970863588, 'average_odds_difference_race': -0.04314360613125552, 'equal_opportunity_difference_race': -0.02782499255387516, 'statistical_parity_difference_race': -0.09925526243843588}
{'algo': 'baseline', 'seed': (5192, 98047), 'lr': 0.003, 'accuracy': 0.8093974571586512, 'lb': 1.3042700014369946, 'pval': 0.0, 'bal_acc': 0.8249522731479801, 'gap_rms_gen': 0.14111152818011044, 'mean_gap_gen': 0.11614291135941326, 'max_gap_gen': 0.19628832623940234, 'average_odds_difference_gen': -0.11614291135941326, 'equal_opportunity_difference_gen': -0.035997496479424185, 'statistical_parity_difference_gen': -0.29378878165455613, 'gap_rms_race': 0.05794166237718362, 'mean_gap_race': 0.053726965953845934, 'max_gap_race': 0.07542142073901664, 'average_odds_difference_race': -0.053726965953845934, 'equal_opportunity_difference_race': -0.032032511168675226, 'statistical_parity_difference_race': -0.12916158222311375}
{'algo': 'baseline', 'seed': (50057, 73349), 'lr': 0.003, 'accuracy': 0.8061912658927585, 'lb': 1.0635435046768948, 'pval': 1.0, 'bal_acc': 0.8183995989310571, 'gap_rms_gen': 0.16600715196438415, 'mean_gap_gen': 0.15431178195034728, 'max_gap_gen': 0.21551838661548625, 'average_odds_difference_gen': -0.15431178195034728, 'equal_opportunity_difference_gen': -0.09310517728520828, 'statistical_parity_difference_gen': -0.3162617181791622, 'gap_rms_race': 0.06634413208425606, 'mean_gap_race': 0.05882989807297022, 'max_gap_race': 0.08949888818900029, 'average_odds_difference_race': -0.05882989807297022, 'equal_opportunity_difference_race': -0.02816090795694015, 'statistical_parity_difference_race': -0.13590200384365067}
{'algo': 'baseline', 'seed': (98539, 77708), 'lr': 0.01, 'accuracy': 0.8113875069098949, 'lb': 1.7719663216577297, 'pval': 0.0, 'bal_acc': 0.8281614371806629, 'gap_rms_gen': 0.14821890059178994, 'mean_gap_gen': 0.14174272693583542, 'max_gap_gen': 0.18507679959733475, 'average_odds_difference_gen': -0.14174272693583542, 'equal_opportunity_difference_gen': -0.0984086542743361, 'statistical_parity_difference_gen': -0.2935305366998968, 'gap_rms_race': 0.04802562343095957, 'mean_gap_race': 0.04406066120662569, 'max_gap_race': 0.06316873907875303, 'average_odds_difference_race': -0.04406066120662569, 'equal_opportunity_difference_race': -0.024952583334498346, 'statistical_parity_difference_race': -0.11397911675838884}
